ARG seed 0
ARG numthreads 16
ARG program test-and-set.s
ARG interrupt frequency 10
ARG interrupt randomness False
ARG procsched 
ARG argv 
ARG load address 1000
ARG memsize 128
ARG memtrace 
ARG regtrace 
ARG cctrace False
ARG printstats True
ARG verbose False


icount        Thread 0                Thread 1                Thread 2                Thread 3                Thread 4                Thread 5                Thread 6                Thread 7                Thread 8                Thread 9                Thread 10                Thread 11                Thread 12                Thread 13                Thread 14                Thread 15         

     0      0 1000 mov  $1, %ax
    70 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    70                                                                                                                                                                                1000 mov  $1, %ax
    71                                                                                                                                                                                1001 xchg %ax, mutex
    72                                                                                                                                                                                1002 test $0, %ax
    73                                                                                                                                                                                1003 jne  .acquire
    74                                                                                                                                                                                1004 mov  count, %ax
    75                                                                                                                                                                                1005 add  $1, %ax
    76                                                                                                                                                                                1006 mov  %ax, count
    77                                                                                                                                                                                1007 mov  $0, mutex
    78                                                                                                                                                                                1008 sub  $1, %bx
    79                                                                                                                                                                                1009 test $0, %bx
    80 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    80                                                                                                                                                                                                         1000 mov  $1, %ax
    81                                                                                                                                                                                                         1001 xchg %ax, mutex
    82                                                                                                                                                                                                         1002 test $0, %ax
    83                                                                                                                                                                                                         1003 jne  .acquire
    84                                                                                                                                                                                                         1004 mov  count, %ax
    85                                                                                                                                                                                                         1005 add  $1, %ax
    86                                                                                                                                                                                                         1006 mov  %ax, count
    87                                                                                                                                                                                                         1007 mov  $0, mutex
    88                                                                                                                                                                                                         1008 sub  $1, %bx
    89                                                                                                                                                                                                         1009 test $0, %bx
    90 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
    90                                                                                                                                                                                                                                  1000 mov  $1, %ax
    91                                                                                                                                                                                                                                  1001 xchg %ax, mutex
    92                                                                                                                                                                                                                                  1002 test $0, %ax
    93                                                                                                                                                                                                                                  1003 jne  .acquire
    94                                                                                                                                                                                                                                  1004 mov  count, %ax
    95                                                                                                                                                                                                                                  1005 add  $1, %ax
    96                                                                                                                                                                                                                                  1006 mov  %ax, count
    97                                                                                                                                                                                                                                  1007 mov  $0, mutex
    98                                                                                                                                                                                                                                  1008 sub  $1, %bx
    99                                                                                                                                                                                                                                  1009 test $0, %bx
   100 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   100                                                                                                                                                                                                                                                           1000 mov  $1, %ax
   101                                                                                                                                                                                                                                                           1001 xchg %ax, mutex
   102                                                                                                                                                                                                                                                           1002 test $0, %ax
   103                                                                                                                                                                                                                                                           1003 jne  .acquire
   104                                                                                                                                                                                                                                                           1004 mov  count, %ax
   105                                                                                                                                                                                                                                                           1005 add  $1, %ax
   106                                                                                                                                                                                                                                                           1006 mov  %ax, count
   107                                                                                                                                                                                                                                                           1007 mov  $0, mutex
   108                                                                                                                                                                                                                                                           1008 sub  $1, %bx
   109                                                                                                                                                                                                                                                           1009 test $0, %bx
   110 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   110                                                                                                                                                                                                                                                                                    1000 mov  $1, %ax
   111                                                                                                                                                                                                                                                                                    1001 xchg %ax, mutex
   112                                                                                                                                                                                                                                                                                    1002 test $0, %ax
   113                                                                                                                                                                                                                                                                                    1003 jne  .acquire
   114                                                                                                                                                                                                                                                                                    1004 mov  count, %ax
   115                                                                                                                                                                                                                                                                                    1005 add  $1, %ax
   116                                                                                                                                                                                                                                                                                    1006 mov  %ax, count
   117                                                                                                                                                                                                                                                                                    1007 mov  $0, mutex
   118                                                                                                                                                                                                                                                                                    1008 sub  $1, %bx
   119                                                                                                                                                                                                                                                                                    1009 test $0, %bx
   120 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   120                                                                                                                                                                                                                                                                                                             1000 mov  $1, %ax
   121                                                                                                                                                                                                                                                                                                             1001 xchg %ax, mutex
   122                                                                                                                                                                                                                                                                                                             1002 test $0, %ax
   123                                                                                                                                                                                                                                                                                                             1003 jne  .acquire
   124                                                                                                                                                                                                                                                                                                             1004 mov  count, %ax
   125                                                                                                                                                                                                                                                                                                             1005 add  $1, %ax
   126                                                                                                                                                                                                                                                                                                             1006 mov  %ax, count
   127                                                                                                                                                                                                                                                                                                             1007 mov  $0, mutex
   128                                                                                                                                                                                                                                                                                                             1008 sub  $1, %bx
   129                                                                                                                                                                                                                                                                                                             1009 test $0, %bx
   130 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   130                                                                                                                                                                                                                                                                                                                                      1000 mov  $1, %ax
   131                                                                                                                                                                                                                                                                                                                                      1001 xchg %ax, mutex
   132                                                                                                                                                                                                                                                                                                                                      1002 test $0, %ax
   133                                                                                                                                                                                                                                                                                                                                      1003 jne  .acquire
   134                                                                                                                                                                                                                                                                                                                                      1004 mov  count, %ax
   135                                                                                                                                                                                                                                                                                                                                      1005 add  $1, %ax
   136                                                                                                                                                                                                                                                                                                                                      1006 mov  %ax, count
   137                                                                                                                                                                                                                                                                                                                                      1007 mov  $0, mutex
   138                                                                                                                                                                                                                                                                                                                                      1008 sub  $1, %bx
   139                                                                                                                                                                                                                                                                                                                                      1009 test $0, %bx
   140 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   140                                                                                                                                                                                                                                                                                                                                                               1000 mov  $1, %ax
   141                                                                                                                                                                                                                                                                                                                                                               1001 xchg %ax, mutex
   142                                                                                                                                                                                                                                                                                                                                                               1002 test $0, %ax
   143                                                                                                                                                                                                                                                                                                                                                               1003 jne  .acquire
   144                                                                                                                                                                                                                                                                                                                                                               1004 mov  count, %ax
   145                                                                                                                                                                                                                                                                                                                                                               1005 add  $1, %ax
   146                                                                                                                                                                                                                                                                                                                                                               1006 mov  %ax, count
   147                                                                                                                                                                                                                                                                                                                                                               1007 mov  $0, mutex
   148                                                                                                                                                                                                                                                                                                                                                               1008 sub  $1, %bx
   149                                                                                                                                                                                                                                                                                                                                                               1009 test $0, %bx
   150 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   150                                                                                                                                                                                                                                                                                                                                                                                        1000 mov  $1, %ax
   151                                                                                                                                                                                                                                                                                                                                                                                        1001 xchg %ax, mutex
   152                                                                                                                                                                                                                                                                                                                                                                                        1002 test $0, %ax
   153                                                                                                                                                                                                                                                                                                                                                                                        1003 jne  .acquire
   154                                                                                                                                                                                                                                                                                                                                                                                        1004 mov  count, %ax
   155                                                                                                                                                                                                                                                                                                                                                                                        1005 add  $1, %ax
   156                                                                                                                                                                                                                                                                                                                                                                                        1006 mov  %ax, count
   157                                                                                                                                                                                                                                                                                                                                                                                        1007 mov  $0, mutex
   158                                                                                                                                                                                                                                                                                                                                                                                        1008 sub  $1, %bx
   159                                                                                                                                                                                                                                                                                                                                                                                        1009 test $0, %bx
   160 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   160 1010 jgt .top
   161 1011 halt
   162 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   162                          1010 jgt .top
   163                          1011 halt
   164 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   164                                                   1010 jgt .top
   165                                                   1011 halt
   166 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   166                                                                            1010 jgt .top
   167                                                                            1011 halt
   168 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   168                                                                                                     1010 jgt .top
   169                                                                                                     1011 halt
   170 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   170 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   170                                                                                                                                                       1010 jgt .top
   171                                                                                                                                                       1011 halt
   172 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   172                                                                                                                                                                                1010 jgt .top
   173                                                                                                                                                                                1011 halt
   174 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   174                                                                                                                                                                                                         1010 jgt .top
   175                                                                                                                                                                                                         1011 halt
   176 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   176                                                                                                                                                                                                                                  1010 jgt .top
   177                                                                                                                                                                                                                                  1011 halt
   178 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   178                                                                                                                                                                                                                                                           1010 jgt .top
   179                                                                                                                                                                                                                                                           1011 halt
   180 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   180 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   180                                                                                                                                                                                                                                                                                                             1010 jgt .top
   181                                                                                                                                                                                                                                                                                                             1011 halt
   182 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   182                                                                                                                                                                                                                                                                                                                                      1010 jgt .top
   183                                                                                                                                                                                                                                                                                                                                      1011 halt
   184 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   184                                                                                                                                                                                                                                                                                                                                                               1010 jgt .top
   185                                                                                                                                                                                                                                                                                                                                                               1011 halt
   186 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   186                                                                                                                                                                                                                                                                                                                                                                                        1010 jgt .top
   187                                                                                                                                                                                                                                                                                                                                                                                        1011 halt
   188 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   188                                                                                                                              1010 jgt .top
   189                                                                                                                              1011 halt
   190 ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  ----- Halt;Switch -----  
   190 ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  ------ Interrupt ------  
   190                                                                                                                                                                                                                                                                                    1010 jgt .top
   191                                                                                                                                                                                                                                                                                    1011 halt

STATS:: Instructions    192
STATS:: Emulation Rate  97.22 kinst/sec
